source,scraped_at,url,sku,title,image_url,price,currency,category,price_source,locale,master_id,brand,subtitle,shade,shade_count,shades,size,availability,original_price,discount_pct,badge,page,row_index
givenchybeauty.com,2026-09-18T11:13:26.782783+00:00,https://www.givenchybeauty.com/us/p/le-rouge-satin-silk-lipstick-F20100269.html,P000476,LE ROUGE SATIN SILK LIPSTICK,https://www.givenchybeauty.com/dw/image/v2/BBZW_PRD/on/demandware.static/-/Sites-givenchy-beauty-master/default/dw80db15cd/images/P000476/P000476_1.png?sw=300&sh=375&sm=fit&strip=false,50.0,USD,makeup/lips,tile-microdata,us,F20100269,Givenchy beauty,The New Hydrating Long-Wear Lipstick,PINK-204,19,NUDE-1 | NUDE-5 | PINK-204,,InStock,,,New,1,0
givenchybeauty.com,2026-09-18T11:13:26.785316+00:00,https://www.givenchybeauty.com/us/p/le-rouge-ph-reactive-hydra-balm-F20100272.html,P090620,LE ROUGE PH REACTIVE HYDRA BALM,"https://www.givenchybeauty.com/dw/image/v2/BBZW_PRD/on/demandware.static/-/Sites-givenchy-beauty-master/default/dw63d3a4b8/images/F20100272/P090620/3274872502925_P090620_LE-ROUGE-BALM-26-3,4G-N10_d_0.png?sw=300&sh=375&sm=fit&strip=false",45.0,USD,makeup/lips,tile-microdata,us,F20100272,Givenchy beauty,The PH-Reactive 48-Hour Hydrating Black Balm,TRANSPARENT-23,1,TRANSPARENT-23,,InStock,,,New,1,1
givenchybeauty.com,2026-09-18T11:13:26.786166+00:00,https://www.givenchybeauty.com/us/p/le-rouge-hydra-balm-F20100271.html,P090621,LE ROUGE HYDRA BALM,"https://www.givenchybeauty.com/dw/image/v2/BBZW_PRD/on/demandware.static/-/Sites-givenchy-beauty-master/default/dw9889541a/images/F20100271/P090621/3274872502932_P090621_LE-ROUGE-BALM-26-3,4G-N00_d_0.png?sw=300&sh=375&sm=fit&strip=false",45.0,USD,makeup/lips,tile-microdata,us,F20100271,Givenchy beauty,The Iconic 48-Hour Hydrating Balm,TRANSPARENT-22,1,TRANSPARENT-22,,InStock,,,New,1,2
givenchybeauty.com,2026-09-18T11:13:26.787105+00:00,https://www.givenchybeauty.com/us/p/perfecto-serum-lip-oil-F20100268.html,P000508,Perfecto Serum Lip Oil,"https://www.givenchybeauty.com/dw/image/v2/BBZW_PRD/on/demandware.static/-/Sites-givenchy-beauty-master/default/dw0bb58962/images/P000508/3274872502130_P000508_PERFECTO_LIP_OIL_26_7,5ML_N00_d_0.png?sw=300&sh=375&sm=fit&strip=false",43.0,USD,makeup/lips,tile-microdata,us,F20100268,Givenchy beauty,The first long-wear shine & caring lip oil,PINK-207,4,PINK-207 | ORANGE-38 | RED-151,,InStock,,,New,1,3
givenchybeauty.com,2026-09-18T11:13:26.788452+00:00,https://www.givenchybeauty.com/us/p/le-rouge-velvet-matte-lipstick-F20100254.html,P000353,Le Rouge Velvet Matte Lipstick,"https://www.givenchybeauty.com/dw/image/v2/BBZW_PRD/on/demandware.static/-/Sites-givenchy-beauty-master/default/dwc1d1e7fa/images/P000353/CODE-EAN_P000353_LE_ROUGE_VELVET_MATTE_N03-2,3G_d_0_0.png?sw=300&sh=375&sm=fit&strip=false",49.0,USD,makeup/lips,tile-microdata,us,F20100254,Givenchy beauty,12H Blurring Matte Lipstick,NUDE-3,17,NUDE-1 | NUDE-2 | NUDE-3,,InStock,,,ENGRAVE,1,4
givenchybeauty.com,2026-09-18T11:13:26.789424+00:00,https://www.givenchybeauty.com/us/p/rose-perfecto-shine-serum-lipstick-F20100246.html,P000135,ROSE PERFECTO SHINE SERUM LIPSTICK,https://www.givenchybeauty.com/dw/image/v2/BBZW_PRD/on/demandware.static/-/Sites-givenchy-beauty-master/default/dw6ee58338/images/P000135/3274872463509_P000135_ROSE_PERFECTO_SHINE_3-2G_N118_d_0.png?sw=300&sh=375&sm=fit&strip=false,45.0,USD,makeup/lips,tile-microdata,us,F20100246,Givenchy beauty,Intense Care & Color Oil Infused Lipstick with 24H Hydration,PINK-197,12,RED-139 | BROWN-140 | PINK-197,"3,2g",InStock,,,,1,5
givenchybeauty.com,2026-09-18T11:13:26.790253+00:00,https://www.givenchybeauty.com/us/p/rose-perfecto-lip-balm-duo-F70000392.html,P183590,Rose Perfecto Lip Balm Duo,https://www.givenchybeauty.com/dw/image/v2/BBZW_PRD/on/demandware.static/-/Sites-givenchy-beauty-master/default/dw8dda2e57/images/P183590/3274872507784_P183590_DUO-ROSE-PERFECTO-LIQUID-6ML-XMAS25_US_a_4update.png?sw=300&sh=375&sm=fit&strip=false,59.0,USD,makeup/lips,tile-microdata,us,F70000392,Givenchy beauty,"Tinted Liquid Lip Balm, N°001 & N°011 ($80 value)",2x6ml,,,2x6ml,InStock,,,,1,6
givenchybeauty.com,2026-09-18T11:13:26.791243+00:00,https://www.givenchybeauty.com/us/p/lip-liner-F20100022.html,P083909,LIP LINER,https://www.givenchybeauty.com/dw/image/v2/BBZW_PRD/on/demandware.static/-/Sites-givenchy-beauty-master/default/dwd727c6fd/images/P083909/3274872336858_P083909_LIP-LINER-2017-N09_0.png?sw=300&sh=375&sm=fit&strip=false,32.0,USD,makeup/lips,tile-microdata,us,F20100022,Givenchy beauty,Lip Liner,BROWN-11,6,PINK-62 | PINK-64 | ORANGE-9,,InStock,,,,1,7
givenchybeauty.com,2026-09-18T11:13:26.792193+00:00,https://www.givenchybeauty.com/us/p/le-rouge-sheer-velvet-matte-lipstick-F20100140.html,P084932,LE ROUGE SHEER VELVET MATTE LIPSTICK,"https://www.givenchybeauty.com/dw/image/v2/BBZW_PRD/on/demandware.static/-/Sites-givenchy-beauty-master/default/dw9ffd5a7b/images/P083862/3274872428379_P083862_LE-ROUGE-SHEER-VELVET-3,4G-N16_0.png?sw=300&sh=375&sm=fit&strip=false",48.0,USD,makeup/lips,tile-microdata,us,F20100140,Givenchy beauty,Blurring Matte Lipstick,BEIGE-272,12,RED-87 | BEIGE-271 | BEIGE-272,,InStock,,,,1,8
givenchybeauty.com,2026-09-18T11:13:26.793430+00:00,https://www.givenchybeauty.com/us/p/le-rouge-interdit-intense-silk-F20100157.html,P084773,LE ROUGE INTERDIT INTENSE SILK,"https://www.givenchybeauty.com/dw/image/v2/BBZW_PRD/on/demandware.static/-/Sites-givenchy-beauty-master/default/dwade722fe/images/P084773/3274872442924_P084773_LE-ROUGE-INTE-INT-SILK-3,4G-N326_0.png?sw=300&sh=375&sm=fit&strip=false",48.0,USD,makeup/lips,tile-microdata,us,F20100157,Givenchy beauty,Luminous Matte Lipstick​,RED-108,19,PINK-187 | BEIGE-328 | RED-112,,InStock,,,,1,9
